question,choices,back,answer,Question_int
A lease of real property is a contract by which the landlord conveys:,an easement to the tenant.|exclusive possession to the tenant.|a licence to occupy to the tenant.|a right of survivorship to the tenant.,"<p>Option (2) is correct because a lease grants exclusive possession of land to another (the tenant) for a specified <br>term. Option (1) is incorrect because an easement is a separate type of interest in land which does not grant <br>exclusive possession, but gives a landowner a limited right to use another’s land for the benefit of his or her <br>land. Option (3) is incorrect because a license creates a privilege for the person who holds it to enter onto <br>property for a certain purpo se, but does not confer upon the licensee a lease or any other interest in the <br>property. Option (4) is incorrect because a right of survivorship is a characteristic of a joint tenancy <br>co-ownership whereby the estate automatically vests in surviving joint t enants on the death of a joint tenant.</p>",Correct Option: 2,316
Which of the following statements is FALSE regarding the seller's obligations surrounding GST in a transaction for the sale of real estate?,"Sellers are generally required to collect GST from the buyer as an agent for the government.|Where a seller fails to collect GST from the buyer, the seller becomes equally liable to the government for the amount of the tax.|When the seller collects GST from the buyer, it is deemed to be held in trust for the government until it is remitted.|If the seller receives an assessment from the Canada Revenue Agency for the amount of the GST after failing to collect it from the buyer, the seller has lost their ability to pursue the buyer for the amount of the tax and will be held fully liable for the amount.","<p>Option (4) is correct (false) because where the Canada Revenue Agency sends an assessment to the seller for uncollected GST, the seller has a right to pursue the buyer for the amount of the GST.  Options (1), (2), and (3) are <br>incorrect because they are all true statements.</p>",Correct Option: 4,317
"A borrower approaches a bank for a mortgage loan that has an 80% loan-to-value ratio. The contract rate is 3.9% per annum, compounded semi-annually and the government-specified qualifying rate is 5.25% per annum, compounded semi-annually. At what rate will the borrower have to qualify to fulfil the stress test borrower qualification rule for uninsured mortgages?",j  = 5.9% 2|j  = 7.5% 2|j  = 5.5% 2|j  = 3.9% 2,"<p>Option (1) is correct because the mortgage qualifying rate is based on the greater of the government -specified <br>qualifying rate (5.25% as of June 2021) and  2% above the mortgage’s negotiated contract rate. In this case, you <br>would apply a rate of j 2 = 5.9% (2% + 3.9%), which is greater than the government -specified rate of j 2 = 5.25%.</p>",Correct Option: 1,318
"When Joan was viewing the apartment in a converted house that she was contemplating renting from Zack, she noticed that the steps and the handrail in the back staircase appeared to be in a state of disrepair. When Joan moved in after signing the lease, she discovered that she could not use the back stairs because the bottom three stairs were rotten and the handrail was not bolted down. Which of the following statements is TRUE?","Unless the lease provides that Zack will repair the premises, he has no responsibility to make any repairs.|Zack is only obligated to make any necessary repairs that are brought to his attention in writing at the time the parties enter the lease.|Joan is obligated to do the repairs if she wants them to be done, because she entered the lease aware of the condition of the premises.|Zack is obliged by law to maintain the premises in a state of repair that complies with safety standards, irrespective of the condition of the premises at the time the lease was entered.","<p>Option (4) is correct because the landlord’s duty to repair requires that the landlord repair all types of <br>residential premises  under section 32 of the Residential Tenancy Act , even if they were in disrepair when the <br>tenancy agreement was made. Options (1), (2), and (3) are incorrect because they are over ruled by section 32 of <br>the Act.  <br></p>",Correct Option: 4,319
The essential distinction between a defect and a stigma is that:,"a stigma increases the value of a property, whereas a defect decreases the value of a property.|a stigma must always be disclosed to the buyer, whereas a defect need not be disclosed to the buyer.|a stigma cannot be discovered by conducting a reasonable inspection and making reasonable inquiries, whereas a defect is visible upon reasonable examination.|a stigma's effect on property value depends on an individual's subjective considerations, whereas a defect's impact can be objectively determined.","<p>Option (4) is correct because while a defect’s impact on a property’s value can be objectively determined, a <br>stigma’s effect depends on an individual buyer’s subjective considerations. Some may view t he stigma as a <br>liability, while others may not. Option (1) is incorrect because although stigmas can increase the value of a property, they can also decrease its value, depending on the individual buyer’s subjective preferences. Option (2) is incorrect bec ause sellers are generally not required to disclose stigmas unknown to the buyer. <br>Additionally, unlike stigmas, some defects must be disclosed by the seller. Option (3) is incorrect because <br>whether or not the stigma can be discovered through reasonable ins pection and inquiries is not a <br>distinguishing feature of a stigma. Further, only certain defects are discoverable upon a reasonable <br>examination .</p>",Correct Option: 4,320
Which of the following is a key purpose of the Disclosure of Risks to Unrepresented Parties form?,To encourage unrepresented parties to obtain independent professional advice in respect of the trade in real estate|To advise unrepresented parties of their right to report a licensee to the British Columbia Financial Services Authority if the licensee provides them with limited trading services|To encourage unrepresented parties to enter into an agency agreement with the licensee if the licensee's acts give rise to agency by implication|To suggest that unrepresented parties withdraw from a particular transaction if they do not find a licensee to represent them in that transaction,"<p>Option (1) is correct because a key purpose of the Disclosure of Risks to Unrepresented  Parties form is to <br>encourage unrepresented parties to obtain independent professional advice in respect of the trade in real estate. Option (2) is  incorrect because it does  not describe  a purpose of the form, as a licensee is permitted to provide <br>unrepresented parties with limited trading services, provided the licensee adheres to the Rules. Option (3) and <br>(4) are  incorrect because they are  not purposes of the form.</p>",Correct Option: 1,321
"A potential borrower has inquired as to how large a mortgage loan she can ""afford"" with monthly payments of $550. If mortgage interest rates are currently 14% per annum, compounded semi-annually, with an amortization period of 25 years, calculate the maximum loan allowable.","$45,260.94|$47,214.35|$45,690.13|$46,853.31","<p>Find the maximum loan allowable given  the borrower ’s payment constraints and the given loan criterion, <br>assuming the loan is fully amortized in 25 years.</p><table border='1' cellspacing='0' cellpadding='4'><thead><tr><th>Press</th><th>Display</th></tr></thead><tbody><tr><td>14 &#9632; NOM%</td><td style='text-align:right'>14</td></tr><tr><td>2 &#9632; P/YR</td><td style='text-align:right'>2</td></tr><tr><td>&#9632; EFF%</td><td style='text-align:right'>14.49</td></tr><tr><td>12 &#9632; P/YR</td><td style='text-align:right'>12</td></tr><tr><td>&#9632; NOM%</td><td style='text-align:right'>13.608312</td></tr><tr><td>550 +/&minus; PMT</td><td style='text-align:right'>&minus;550</td></tr><tr><td>300 N</td><td style='text-align:right'>300</td></tr><tr><td>0 FV</td><td style='text-align:right'>0</td></tr><tr><td>PV</td><td style='text-align:right'>46,853.310771</td></tr></tbody></table><p>The maximum loan allowable is &#36;46,853.31.  <br></p>",Correct Option: 4,322
"Bill Black purchased a home two years ago, at which time he arranged for a mortgage in the amount of $350,000 amortized over 20 years with a 5-year term and monthly payments. The interest rate on the mortgage was 6% per annum, compounded semi-annually, calling for monthly payments of $2,493 and an outstanding balance of $296,762.89 due at the end of the 5-year term. Bill has just received an offer on his house from Mark. Mark's offer consists of $50,000 cash and assumption of the existing mortgage for the remainder of the term. If current market rates for 3-year term mortgages are 3.5% per annum, compounded semi-annually, what is the market value of Mark's offer?","$352,537.42|$449,911.72|$399,223.72|$402,537.42","<p>
 The value of Mark ’s offer is the market value of the mortgage plus his cash down payment. Mark will assume
 the remaining 36 monthly payments of $2,493 and the  outstanding balance of $296,762.89. Calculate the
 market value of the mortgage by determining the PV of the payments and OSB remaining at the end of the
 original 5- year term based on the current market rate of 
<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline"">
       <msub>
         <mi>j</mi>
         <mn>2</mn>
       </msub>
     </math>  = 3.5%.
</p>
<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    3.5 ■ NOM% 
   </td>
   <td style=""""text-align:right"""">
   3.5
   </td>
  </tr>
  <tr>
   <td>
    2 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    2
   </td>
  </tr>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    3.530625
   </td>
  </tr>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    3.474749
   </td>
  </tr>
  <tr>
   <td>
    2493 +/− PMT
   </td>
   <td style=""""text-align:right"""">
    −2,493
   </td>
  </tr>
  <tr>
   <td>
    296762.89  +/ − FV 
   </td>
   <td style=""""text-align:right"""">
   −296,762.89
   </td>
  </tr>
  <tr>
   <td>
    36 N
   </td>
   <td style=""""text-align:right"""">
    36
   </td>
  </tr>
  <tr>
   <td>
    PV
   </td>
   <td style=""""text-align:right"""">
    352,537.42204 (market value of the mortgage)
   </td>
  </tr>
  <tr>
   <td>
    + 50000 =
   </td>
   <td style=""""text-align:right"""">
    402,537.42204 (market value of the offer)
   </td>
  </tr>
 </tbody>
</table>
<p>
 The market value of Mark ’s offer is $402,537.42.
</p>",Correct Option: 4,323
Why is the sub-market for single-family residences considered to be more perfect than other real estate sub-markets?,Buyers and sellers do not necessarily attempt to achieve the greatest profit.|Each property is unique.|There is a more abundant flow of market information relating to current prices.|There are a small number of buyers and sellers relative to the total number of properties.,"<p>Option (3) is correct because t he sub -market for single -family residences experiences many sales transactions <br>so there is a more abundant flow of market information relating to current prices. Options (1), (2), and (4) are <br>incorrect because they are not reasons that this sub -market is considered more perfect than others .</p>",Correct Option: 3,324
Which of the following is NOT a part of a standard zoning bylaw?,The official zoning map|Restrictions as to land use|The schedules outlining the regulations applicable to each particular zoning district|A consolidation of all amendments to the bylaw adopted up until the time of consolidation,"<p>Option (4) is correct because zoning bylaws are periodically consolidated to include all the amendments that <br>have been adopted up to the time of that consolidation, but this is not a standard part that is usually included in <br>the bylaw. Options (1), (2), and (3) are incorrect because they are all pa rt of a standard zoning bylaw.</p>",Correct Option: 4,325
"If an applicant for a mortgage loan has income of $1,000 per month and property taxes are estimated at $600 per year and the permitted gross debt service ratio is 30%, what can the applicant afford to pay for monthly principal and interest?",$285|$240|$300|$250,"<p>Calculate the monthly principal and  interest that can be paid from the given constraints and the following <br>equation: PIT = GDSR  &times; Gross Income  <br> <br>PIT = 0.3 &times;  &#36;12,000  <br>PI + 600 = &#36;3,600  <br>PI = &#36;3,600 &minus;  &#36;600 <br>Annual PI = &#36;3,000  <br>Monthly PI = &#36;3,000 &divide;  12 = &#36;250 <br> <br>The monthly allowable amount for principal and interest is &#36;250.  <br></p>",Correct Option: 4,326
"In a real estate transaction, when the property taxes for the subject property are not yet due and will be paid in the future by the buyer:",no entry is made on either statement of adjustments.|the seller's share of the property taxes will be debited on their statement of adjustments.|the buyer will be responsible to pay their share of the property taxes to the seller on closing.|the seller's share of the property taxes will be credited on their statement of adjustments.,"<p>Option (2) is correct because the seller’s share of the property taxes will reduce the cash proceeds due to <br>him/her, and thus will be debited on his/her statement of adjustments. Option (1) is incorrect because taxes are <br>apportioned between the parties as of the adjustment date and this is reflected on the statements of adjustments. Option (3) is incorrect because taxes may be paid out of the proceeds where taxes are due but have not yet been pa id, whereas in this situation the taxes are not yet due. Option (4) is incorrect because a credit on <br>the buyer’s statement of adjustments would reflect an amount that was owed to the seller, and in this situation <br>the seller’s share of the taxes are owed to  the buyer so that the buyer can pay them in the future when they <br>become due.</p>",Correct Option: 2,327
"A mortgage loan with a face value of $100,000 is arranged through a mortgage broker. A commission of $3,500, appraisal fees of $450, as well as survey and legal fees totalling $600 will be deducted from the face value before the funds are advanced to the borrower. Calculate the cost of funds advanced to the borrower, expressed as an effective annual interest rate (j ), if the loan is written at 7.75% per annum, 1 compounded semi-annually, with monthly payments over a 20-year amortization period and term.",8.952059%|8.571434%|8.252225%|9.439884%,"<p>
 Calculate the required payments according to the loan contract, then calculate the cost of funds advanced using
 <br/>
 a present value that is net of commission, appraisal, survey, and legal fees.
</p>
<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    7.75 ■ NOM% 
   </td>
   <td style=""""text-align:right"""">
    7.75
   </td>
  </tr>
  <tr>
   <td>
    2 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    2
   </td>
  </tr>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    7.900156
   </td>
  </tr>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    7.627754
   </td>
  </tr>
  <tr>
   <td>
    100000 PV
   </td>
   <td style=""""text-align:right"""">
    100,000
   </td>
  </tr>
  <tr>
   <td>
    240 N
   </td>
   <td style=""""text-align:right"""">
    240
   </td>
  </tr>
  <tr>
   <td>
    0 FV
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    PMT
   </td>
   <td style=""""text-align:right"""">
    −813.422896
   </td>
  </tr>
  <tr>
   <td>
    813.42 +/− PMT
   </td>
   <td style=""""text-align:right"""">
    −813.42
   </td>
  </tr>
  <tr>
   <td>
    95450 PV
   </td>
   <td style=""""text-align:right"""">
    95,450 ($100,000 − $3,500 − $450 − $600)
   </td>
  </tr>
  <tr>
   <td>
    I/YR
   </td>
   <td style=""""text-align:right"""">
    8.252059 (
<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline"">
       <msub>
         <mi>j</mi>
         <mn>12</mn>
       </msub>
     </math>) 
   </td>
  </tr>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    8.571434 (
<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline"">
       <msub>
         <mi>j</mi>
         <mn>1</mn>
       </msub>
     </math>) 
   </td>
  </tr>
 </tbody>
</table>",Correct Option: 2,328
"As a marketing incentive to speed up the sale of newly completed but unsold condominiums, a developer agrees to provide the purchasers with first mortgages with a contract rate that is lower than the market rate of interest. Under these circumstances, it can be said that this is an offer involving:",below-market rate financing.|market rate financing.|above-market rate financing.|interest only financing.,"<p>Option (1) is correct because t he developer is offering below -market rate financing as an incentive to sell more <br>condos.  Therefore, Options (2), (3), and (4) are incorrect.  <br></p>",Correct Option: 1,329
"Susan Jones has offered to purchase a house from a vendor who is willing to provide partial financing. Her offer is a $75,000 down payment plus a mortgage of $125,000 at 4% per annum, compounded semi- annually. The loan is to be fully amortized with monthly payments over 20 years. What is the market value of this offer if the market rate for similar mortgage loans is 6.5% per annum, compounded semi- annually?","$113,009.30|$188,009.30|$101,994.94|$176,999.94","<p>
 Find the market value of a loan contract given the change in the market rate; add the down payment to obtain
 <br/>
 the market value of the offer.
</p>
<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    4 ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    4
   </td>
  </tr>
  <tr>
   <td>
    2 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    2
   </td>
  </tr>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    4.04
   </td>
  </tr>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    3.967068
   </td>
  </tr>
  <tr>
   <td>
    125000 PV
   </td>
   <td style=""""text-align:right"""">
    125,000
   </td>
  </tr>
  <tr>
   <td>
    240 N
   </td>
   <td style=""""text-align:right"""">
    240
   </td>
  </tr>
  <tr>
   <td>
    0 FV
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    PMT
   </td>
   <td style=""""text-align:right"""">
    −755.308081
   </td>
  </tr>
  <tr>
   <td>
    755.31 +/ − PMT
   </td>
   <td style=""""text-align:right"""">
    −755.31
   </td>
  </tr>
  <tr>
   <td>
    6.5 ■ NOM% 
   </td>
   <td style=""""text-align:right"""">
 6.5
   </td>
  </tr>
  <tr>
   <td>
    2 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    2
   </td>
  </tr>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    6.605625
   </td>
  </tr>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    6.413688
   </td>
  </tr>
  <tr>
   <td>
    PV
   </td>
   <td style=""""text-align:right"""">
    101,999.942524 (market value of the mortgage)
   </td>
  </tr>
  <tr>
   <td>
    + 75000 =
   </td>
   <td style=""""text-align:right"""">
    176,999.942524 (market value of the offer)
   </td>
  </tr>
 </tbody>
</table>
<p>
 The market value of the offer is $176,999.94.
</p>",Correct Option: 4,330
"A mortgage broker is arranging a partially amortized mortgage loan with a face value of $350,000. The loan contract is to be written at 6% per annum, compounded monthly. The repayment of the loan is to take place with monthly payments over an amortization period 15 years and a 5-year term. The borrower is to receive $336,000 as a result of a broker's commission of $10,000, a survey fee of $2,500, an appraisal fee of $500, and legal fees of $1,000, all of which are to be deducted from the face value. Calculate the cost of funds advanced to the borrower, expressed as an effective annual interest rate (j ). 1",7.296801%|9.942096%|8.407884%|7.163572%,"<p>
 Calculate the required payments, according to the loan contract, then calculate the cost of funds advanced
 <br/>
 using a face value  that is net of commission fees.
</p>
<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    6 I/YR
   </td>
   <td style=""""text-align:right"""">
    6
   </td>
  </tr>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    350000 PV
   </td>
   <td style=""""text-align:right"""">
    350,000
   </td>
  </tr>
  <tr>
   <td>
    180 N
   </td>
   <td style=""""text-align:right"""">
    180
   </td>
  </tr>
  <tr>
   <td>
    0 FV
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    PMT
   </td>
   <td style=""""text-align:right"""">
    −2,953.498898
   </td>
  </tr>
  <tr>
   <td>
    2953.5 +/− PMT
   </td>
   <td style=""""text-align:right"""">
    −2,953.5
   </td>
  </tr>
  <tr>
   <td>
    60 INPUT ■ AMORT
   </td>
   <td style=""""text-align:right"""">
    PER 60 -60
   </td>
  </tr>
  <tr>
   <td>
    = = =
   </td>
   <td style=""""text-align:right"""">
    266,031.76828
   </td>
  </tr>
  <tr>
   <td>
    266031.77 +/− FV 
   </td>
   <td style=""""text-align:right"""">
    −266,031.77
   </td>
  </tr>
  <tr>
   <td>
    336000 PV
   </td>
   <td style=""""text-align:right"""">
    336,000 ($350,000 − $10,000 − $2,500 − $500 − $1,000)
   </td>
  </tr>
  <tr>
   <td>
    60 N
   </td>
   <td style=""""text-align:right"""">
    60
   </td>
  </tr>
  <tr>
   <td>
    I/YR
   </td>
   <td style=""""text-align:right"""">
    7.063573 (
<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline"">
       <msub>
         <mi>j</mi>
         <mn>12</mn>
       </msub>
     </math>) 
   </td>
  </tr>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    7.296801 (
<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline"">
       <msub>
         <mi>j</mi>
         <mn>1</mn>
       </msub>
     </math>) 
   </td>
  </tr>
  <tr>
   <td>
   </td>
  </tr>
 </tbody>
</table>",Correct Option: 1,331
An invitation to treat is:,a request for offers.|a legal offer.|a request for information.|a binding contract.,"<p>Option (1) is correct because an invitation to treat is an invitation to the public to submit offers. Option (2) is <br>incorrect because a legal offer is meant to be binding if accepted, whereas an invitation to treat is not an offer <br>capable of acceptance t o form a binding contract. For this reason, Option (4) is also incorrect. Option (3) is <br>incorrect because a request for information is not sufficient to constitute an invitation to treat; rather, a request <br>for offers is required.</p>",Correct Option: 1,332
A real estate appraiser would NOT value:,an existing rental agreement of a warehouse.|the right to use airspace at the top of a high-rise office building.|the legal interest in cattle on agricultural land.|a fee simple interest in a two-bedroom apartment.,"<p>Option (3) is correct because t he subject of a real property appraisal is the legal interest of ownership vested in <br>the land. A legal interest in cattle is not a legal interest of ownership vested in the land. Options (1), (2), and (4) <br>are incorrect because t hey are all legal interests  of ownership vested in  the land.</p>",Correct Option: 3,333
"An agency contract that specifies that the real estate brokerage shall be the sole agent for the owner with respect to the sale of property, is called:",an open listing.|a general listing.|an exclusive listing.|a restricted listing.,"<p>Option (3) is correct because an exclusive listing is an ‘exclusive right to sell’ which gives the real estate <br>brokerage (through its Designated Agent) the sole authority to sell the property for a specified period. Option (1) <br>is incorrect because an open listing authorizes a real estate brokerage through its Designated Agent to sell the <br>property; however, it does not prevent the seller from employing a number of other brok erages to also <br>represent the seller through their Designated Agents. Option (2) is incorrect because a general listing is another <br>name for an open listing. Option (4) is incorrect because a restricted listing is not a type of real estate agency <br>listing con tract.</p>",Correct Option: 3,334
"Mary registers a document, given to her by John, in the Land Title Office. The document states that: ""I, John, grant to Mary and her heirs, assigns, executors, and administrators, a right of way for persons and vehicles along and upon the easterly 30 feet of the southerly 64 feet of Lot 1, Plan 910, in order to give access to Mary's property, Lot 2, Plan 910."" The interest granted is:",a restrictive covenant.|a lease.|a licence.|an easement.,"<p>Option (4) is correct because the document grants a right of way, which is a form of easement, to Mary for the benefit of her land (the dominant tenement) over John’s land (the servient tenement). Option (1) is incorrect <br>because a restrictive covenant imposes a restriction on the use of one person’s land for the benefit of another, <br>and this document grants a positive right to use the land rather than a restriction. Option (2) is incorrect <br>because a lease grants a right to possession for a certain amount of time, whereas this interest does not have an <br>end date attached to it and it does not grant exclusive possession to the property. Option (3) is incorrect because <br>a license is a privilege to enter onto premises for a certain pur pose that is a personal right (i.e. can only be <br>exercised by the person to whom it was granted) whereas this right is an interest which runs with the property rather than to Mary exclusively.</p>",Correct Option: 4,335
"In using the cost approach, the MAJOR difficulty is experienced in calculating:",curable physical depreciation.|curable functional depreciation.|incurable physical depreciation.|replacement cost of the building as new.,"<p>Option (3) is correct because i n using th e cost approach of appraisal, the major difficulty is experienced in <br>calculating incurable physical depreciation. The cause of the difficulty lies in determining the economic life of <br>the building.  Options (1), (2), and (4) are incorrect for this reason.</p>",Correct Option: 3,336
"You are to appraise a single-family dwelling in an ordinary neighbourhood. If supply and demand factors have remained relatively stable for the last three months, a good comparable property is a similar property that:","has just been sold at a below-market price through a court ordered sale.|after two months' exposure to the market, was sold one week ago.|is currently listed for sale as $125,000.|was sold at an above-market price four months ago.","<p>Option (2) is correct because i f supply and demand factors have remained relatively stable for the last 3 months, <br>a good comparable property is a similar property that  sold one week ago, after two months exposure to the <br>market. This is the best comparable because the comparative approach is built on the premise that the market <br>value of the subject property will be equal to the prices recently paid for similar properties.  Options (1) and (4) <br>are incorrect because they do not represent the market value of similar properties. Option (3) is incorrect <br>because this similar property has not sold.  <br></p>",Correct Option: 2,337
"You have a partially completed appraisal report that you need to fill in. The 2,300 square foot subject property has 4 bedrooms. The house next door is similar in all respects except for the number of bedrooms and square footage. The 2,200 square foot comparable sold for $321,000 and has 3 bedrooms. If the market value of a bedroom is $3,200 and above an 1,800 sq. ft. benchmark, each 100 sq. ft. is worth $5,000, the adjusted sale price for this comparable is:","$329,200|$312,800|$323,700|$318,300","<p>Option (1) is correct because t o find the adjusted sale price of the comparable, take the sum of the listed sale <br>price  with i ts adjustments to the subject property. In this case, the subject property and the comparable are <br>identical except that the subject property has 1 additional bedroom and is 100 square feet larger. The adjusted <br>sale price is: &#36; 321,000 + &#36;3,200 + &#36;5,000 = &#36;32 9,200.</p>",Correct Option: 1,338
"""Reproduction cost"" is best defined as:","the current construction cost of a building that would provide the same utility as the subject property.|the current cost of moving the building to a site where the building would represent the highest and best use of that site.|the current cost of constructing an exact replica of the subject property.|the original cost of construction, adjusted for inflation.","<p>Option (3) is correct because r eproduction cost is the current cost of constructing an exact replica of the subject <br>property.  Options (1), (2), and (4) are incorrect for this reason.</p>",Correct Option: 3,339
Which one of the following statements is FALSE?,"A deposit is held by the brokerage as a stakeholder until the real estate transaction is completed.|Unless a deposit is paid when an offer to purchase is made, there is no binding contract for purchase and sale.|If a deposit is made by uncertified cheque, the brokerage should only issue a cheque on its trust account when the brokerage knows that the deposit cheque has been honoured.|Once an offer has been accepted, the brokerage may only return the deposit if all parties to the contract consent in writing to the release of the deposit.","<p>Option (2) is correct (FALSE) because  a binding contract of purchase and sale can be created if  there is an offer, <br>acceptance, and consideration.  The exchange of promises to convey title to the property in return for the <br>purchase price is valid consideration, even witho ut a deposit.  Options (1), (3), and (4) are incorrect because they <br>are TRUE statements.</p>",Correct Option: 2,340
Which one of the following real properties must be assessed at market value for purposes of real property taxation?,"A small house, surrounded by warehouse properties, owned continuously by one owner since January, 1946|Shell Oil pipelines|Residences owned by elected government officials|Land in the agricultural land reserve, which is also classified as farmland under the Assessment Act","<p>Option (3) is correct because an ordinary residential property is assessed at market (actual) value. Option (1) is <br>incorrect because it would qualify as a special residential property and could be assessed according to the value <br>based solely on the current residential use. Option (2) is incorrect because pipelines are classified under Major Industry property and are assessed on a separate basis due to difficulty in determining actual value. Option (4) <br>is incorrect because for real estate classified as farm land, the assessor must consider only the value of the <br>property as a farm and exclude value attributable to any other potential uses (i.e. val ue in use is considered <br>rather than actual value).</p>",Correct Option: 3,341
"On an interest accruing mortgage, which one of the following interest rates would result in the highest outstanding balance?",j  = 14% 12|j  = 14% 6|j  = 14% 4|j  = 14% 2,"<p>Find the highest effective rate of the nominal interest rates given.</p><table border='1' cellspacing='0' cellpadding='4'><thead><tr><th>Press</th><th>Display</th></tr></thead><tbody><tr><td>14 &#9632; NOM%</td><td style='text-align:right'>14</td></tr><tr><td>12 &#9632; P/YR</td><td style='text-align:right'>12</td></tr><tr><td>&#9632; EFF%</td><td style='text-align:right'>14.934203</td></tr><tr><td>14 &#9632; NOM%</td><td style='text-align:right'>14</td></tr><tr><td>6 &#9632; P/YR</td><td style='text-align:right'>6</td></tr><tr><td>&#9632; EFF%</td><td style='text-align:right'>14.842523</td></tr><tr><td>14 &#9632; NOM%</td><td style='text-align:right'>14</td></tr><tr><td>4 &#9632; P/YR</td><td style='text-align:right'>4</td></tr><tr><td>&#9632; EFF%</td><td style='text-align:right'>14.7523</td></tr><tr><td>14 &#9632; NOM%</td><td style='text-align:right'>14</td></tr><tr><td>2 &#9632; P/YR</td><td style='text-align:right'>2</td></tr><tr><td>&#9632; EFF%</td><td style='text-align:right'>14.49</td></tr></tbody></table><p>As the number of compounding periods increases, the effective rate increases, so the more interest you will <br>receive for an investment.  <br></p>",Correct Option: 1,342
